Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,041034,1928,08,12.7,Y
IDCJAC0001,041034,1928,09,0.0,Y
IDCJAC0001,041034,1928,10,49.3,Y
IDCJAC0001,041034,1928,11,67.8,Y
IDCJAC0001,041034,1928,12,40.6,Y
IDCJAC0001,041034,1929,01,40.4,Y
IDCJAC0001,041034,1929,02,124.6,Y
IDCJAC0001,041034,1929,03,62.8,Y
IDCJAC0001,041034,1929,04,76.2,Y
IDCJAC0001,041034,1929,05,6.4,Y
IDCJAC0001,041034,1929,06,39.4,Y
IDCJAC0001,041034,1929,07,24.1,Y
IDCJAC0001,041034,1929,08,8.9,Y
IDCJAC0001,041034,1929,09,7.6,Y
IDCJAC0001,041034,1929,10,79.4,Y
IDCJAC0001,041034,1929,11,28.5,Y
IDCJAC0001,041034,1929,12,52.9,Y
