Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,041100,2009,11,18.1,Y
IDCJAC0004,041100,2009,12,20.1,Y
IDCJAC0004,041100,2010,01,19.5,Y
IDCJAC0004,041100,2010,02,19.8,Y
IDCJAC0004,041100,2010,03,17.1,Y
IDCJAC0004,041100,2010,04,13.0,Y
IDCJAC0004,041100,2010,05,8.3,Y
IDCJAC0004,041100,2010,06,5.5,Y
IDCJAC0004,041100,2010,07,6.5,Y
IDCJAC0004,041100,2010,08,5.7,Y
IDCJAC0004,041100,2010,09,10.8,Y
IDCJAC0004,041100,2010,10,12.7,Y
IDCJAC0004,041100,2010,11,15.2,Y
IDCJAC0004,041100,2010,12,17.7,Y
IDCJAC0004,041100,2011,01,19.0,Y
IDCJAC0004,041100,2011,02,19.6,Y
IDCJAC0004,041100,2011,03,17.1,Y
IDCJAC0004,041100,2011,04,11.9,Y
IDCJAC0004,041100,2011,05,7.1,Y
IDCJAC0004,041100,2011,06,4.0,Y
IDCJAC0004,041100,2011,07,2.4,Y
IDCJAC0004,041100,2011,08,5.9,Y
IDCJAC0004,041100,2011,09,7.4,Y
IDCJAC0004,041100,2011,10,11.2,Y
IDCJAC0004,041100,2011,11,17.3,Y
IDCJAC0004,041100,2011,12,15.7,Y
IDCJAC0004,041100,2012,01,17.9,Y
IDCJAC0004,041100,2012,02,17.9,Y
IDCJAC0004,041100,2012,03,15.4,Y
IDCJAC0004,041100,2012,04,12.6,Y
IDCJAC0004,041100,2012,05,6.7,Y
IDCJAC0004,041100,2012,06,5.7,Y
IDCJAC0004,041100,2012,07,4.4,Y
IDCJAC0004,041100,2012,08,2.7,Y
IDCJAC0004,041100,2012,09,7.3,Y
IDCJAC0004,041100,2012,10,10.3,Y
IDCJAC0004,041100,2012,11,16.6,Y
IDCJAC0004,041100,2012,12,18.8,Y
IDCJAC0004,041100,2013,01,20.4,Y
IDCJAC0004,041100,2013,02,17.2,Y
IDCJAC0004,041100,2013,03,16.8,Y
IDCJAC0004,041100,2013,04,10.6,Y
IDCJAC0004,041100,2013,05,7.3,Y
IDCJAC0004,041100,2013,06,6.6,Y
IDCJAC0004,041100,2013,07,6.4,Y
IDCJAC0004,041100,2013,08,4.1,Y
IDCJAC0004,041100,2013,09,8.9,Y
IDCJAC0004,041100,2013,10,11.8,Y
IDCJAC0004,041100,2013,11,14.8,Y
IDCJAC0004,041100,2013,12,17.1,Y
IDCJAC0004,041100,2014,01,18.6,Y
IDCJAC0004,041100,2014,02,19.3,Y
IDCJAC0004,041100,2014,03,17.2,Y
IDCJAC0004,041100,2014,04,13.4,Y
IDCJAC0004,041100,2014,05,9.4,Y
IDCJAC0004,041100,2014,06,5.8,Y
IDCJAC0004,041100,2014,07,2.3,Y
IDCJAC0004,041100,2014,08,5.8,Y
IDCJAC0004,041100,2014,09,7.7,Y
IDCJAC0004,041100,2014,10,12.8,Y
IDCJAC0004,041100,2014,11,19.0,Y
IDCJAC0004,041100,2014,12,19.2,Y
IDCJAC0004,041100,2015,01,19.2,Y
IDCJAC0004,041100,2015,02,17.7,Y
IDCJAC0004,041100,2015,03,17.4,Y
IDCJAC0004,041100,2015,04,12.4,Y
IDCJAC0004,041100,2015,05,8.3,Y
IDCJAC0004,041100,2015,06,6.7,Y
IDCJAC0004,041100,2015,07,4.4,Y
IDCJAC0004,041100,2015,08,5.0,Y
IDCJAC0004,041100,2015,09,6.9,Y
IDCJAC0004,041100,2015,10,13.4,Y
IDCJAC0004,041100,2015,11,17.6,Y
IDCJAC0004,041100,2015,12,17.7,Y
IDCJAC0004,041100,2016,01,18.9,Y
IDCJAC0004,041100,2016,02,18.1,Y
IDCJAC0004,041100,2016,03,17.6,Y
IDCJAC0004,041100,2016,04,13.8,Y
IDCJAC0004,041100,2016,05,8.9,Y
IDCJAC0004,041100,2016,06,7.8,Y
IDCJAC0004,041100,2016,07,6.0,Y
IDCJAC0004,041100,2016,08,5.7,Y
IDCJAC0004,041100,2016,09,10.1,Y
IDCJAC0004,041100,2016,10,10.2,Y
IDCJAC0004,041100,2016,11,13.8,Y
IDCJAC0004,041100,2016,12,19.3,Y
IDCJAC0004,041100,2017,01,21.9,Y
IDCJAC0004,041100,2017,02,20.5,Y
IDCJAC0004,041100,2017,03,18.3,Y
IDCJAC0004,041100,2017,04,11.6,Y
IDCJAC0004,041100,2017,05,9.7,Y
IDCJAC0004,041100,2017,06,6.2,Y
IDCJAC0004,041100,2017,07,3.7,Y
IDCJAC0004,041100,2017,08,3.1,Y
IDCJAC0004,041100,2017,09,8.4,Y
IDCJAC0004,041100,2017,10,15.5,Y
IDCJAC0004,041100,2017,11,13.9,Y
IDCJAC0004,041100,2017,12,18.7,Y
IDCJAC0004,041100,2018,01,19.9,Y
IDCJAC0004,041100,2018,02,19.3,Y
IDCJAC0004,041100,2018,03,17.5,Y
IDCJAC0004,041100,2018,04,13.7,Y
IDCJAC0004,041100,2018,05,7.1,Y
IDCJAC0004,041100,2018,06,4.1,Y
IDCJAC0004,041100,2018,07,4.4,Y
